case_id,customer_id,created_date,closed_date,channel,department,team_name,agent_name,issue_category,issue_subcategory,priority,status,first_response_time_minutes,resolution_time_hours,sla_target_hours,sla_met_flag,reopened_flag,csat_score,escalation_flag,transfer_count,region,shift,resolution_type,root_cause_group,customer_type,queue_name
100000,8831,2025-01-01 04:30:00,2025-01-02 03:00:00,Email,IT Support,Tech Support,Tech_Agent_5,Technical,Integration Error,High,Closed,51,22.5,12,0,1,3.5,0,1,East,Morning,Resolved,Training Gap,Enterprise,VIP Queue
100001,6765,2025-01-01 03:18:00,2025-01-01 22:24:00,Phone,IT Support,Tech Support,Tech_Agent_1,Technical,Login Issue,Medium,Resolved,40,19.1,24,1,0,4.0,0,1,South,Evening,Resolved,System Configuration,SMB,VIP Queue
100002,5403,2025-01-01 22:18:00,,Portal,IT Support,Tech Support,Tech_Agent_8,Billing,Payment Failure,Low,Open,37,14.8,48,0,0,4.2,0,0,Central,Evening,Automation,Training Gap,Enterprise,Technical Queue
100003,6837,2025-01-01 06:29:00,,Phone,Customer Service,North Ops,North_Agent_6,Technical,Login Issue,Medium,Open,58,23.0,24,0,0,4.3,1,0,West,Evening,Escalated,Training Gap,SMB,Billing Queue
100004,8309,2025-01-01 02:34:00,2025-01-01 11:04:00,Portal,Finance Ops,Billing Support,Billing_Agent_7,Retention,Cancellation Request,Low,Closed,15,8.5,48,1,0,4.8,0,0,Central,Morning,Automation,Manual Review Delay,SMB,Escalation Queue
100005,6989,2025-01-01 05:40:00,2025-01-01 14:46:00,Portal,Customer Service,North Ops,North_Agent_2,Billing,Invoice Error,Low,Resolved,83,9.1,48,1,0,4.5,0,0,East,Morning,Manual Correction,System Configuration,SMB,VIP Queue
100006,6086,2025-01-01 00:04:00,,Chat,Customer Service,North Ops,North_Agent_8,Technical,System Error,High,Open,115,25.1,12,0,0,4.6,0,0,East,Evening,Resolved,System Configuration,Mid-Market,VIP Queue
100007,5891,2025-01-01 06:28:00,2025-01-01 14:46:00,Email,Customer Success,Retention Desk,Retention_Agent_1,Retention,Cancellation Request,Low,Closed,39,8.3,48,1,0,4.3,0,1,Central,Night,Resolved,Queue Imbalance,Enterprise,Escalation Queue
100008,6952,2025-01-01 01:42:00,2025-01-01 09:48:00,Portal,Customer Service,North Ops,North_Agent_7,Account,Profile Update,High,Closed,24,8.1,12,1,0,3.4,0,1,West,Morning,Resolved,Manual Review Delay,SMB,Escalation Queue
100009,7765,2025-01-01 20:18:00,2025-01-02 04:42:00,Phone,Customer Service,North Ops,North_Agent_2,Technical,Login Issue,Urgent,Closed,57,8.4,4,0,0,5.0,0,0,West,Evening,Resolved,System Configuration,Enterprise,General Queue
100010,7536,2025-01-01 20:17:00,2025-01-02 23:23:00,Phone,Customer Success,Retention Desk,Retention_Agent_4,Technical,Integration Error,Low,Closed,42,27.1,48,1,0,4.9,0,0,Central,Evening,Resolved,System Configuration,Enterprise,Escalation Queue
100011,7743,2025-01-01 08:54:00,2025-01-01 12:18:00,Phone,Customer Success,Retention Desk,Retention_Agent_2,General,Follow-up,Medium,Closed,22,3.4,24,1,0,4.3,0,0,South,Morning,Resolved,Manual Review Delay,Enterprise,Technical Queue
100012,6872,2025-01-01 22:01:00,2025-01-02 21:49:00,Chat,IT Support,Tech Support,Tech_Agent_3,Technical,Integration Error,Low,Closed,95,23.8,48,1,0,4.1,1,2,South,Morning,Escalated,Training Gap,SMB,General Queue
100013,7202,2025-01-01 03:24:00,2025-01-01 06:42:00,Portal,IT Support,Tech Support,Tech_Agent_7,General,Document Upload,High,Closed,271,3.3,12,1,0,3.5,0,2,West,Night,Resolved,Queue Imbalance,Enterprise,Technical Queue
100014,6167,2025-01-01 08:20:00,2025-01-01 11:32:00,Phone,Customer Service,South Ops,South_Agent_7,Account,Profile Update,Low,Closed,47,3.2,48,1,0,4.8,0,0,West,Evening,Pending Third Party,Queue Imbalance,Enterprise,Escalation Queue
100015,7735,2025-01-01 18:03:00,2025-01-01 22:15:00,Phone,Finance Ops,Billing Support,Billing_Agent_1,General,Document Upload,Medium,Closed,27,4.2,24,1,0,3.9,0,0,South,Night,Resolved,System Configuration,Enterprise,General Queue
100016,7266,2025-01-01 03:39:00,,Chat,Customer Service,South Ops,South_Agent_2,Account,Profile Update,Low,Open,16,14.1,48,0,0,4.0,0,2,West,Evening,Manual Correction,Queue Imbalance,Mid-Market,Technical Queue
100017,7815,2025-01-01 11:42:00,2025-01-01 21:12:00,Email,Customer Success,Retention Desk,Retention_Agent_6,Technical,Integration Error,Medium,Closed,82,9.5,24,1,0,4.3,0,1,South,Night,Pending Third Party,Queue Imbalance,SMB,VIP Queue
100018,8397,2025-01-01 21:39:00,2025-01-03 07:51:00,Portal,Finance Ops,Billing Support,Billing_Agent_4,Billing,Invoice Error,Medium,Closed,98,34.2,24,0,0,4.3,0,0,South,Morning,Resolved,Incomplete Documentation,Enterprise,General Queue
100019,8036,2025-01-01 08:56:00,2025-01-01 17:14:00,Chat,Finance Ops,Billing Support,Billing_Agent_7,Technical,Integration Error,High,Closed,98,8.3,12,1,0,3.6,0,0,East,Night,Pending Third Party,Manual Review Delay,SMB,VIP Queue
100020,8702,2025-01-01 02:34:00,,Email,Customer Success,Retention Desk,Retention_Agent_5,Billing,Invoice Error,High,Open,51,5.6,12,0,0,4.6,0,1,West,Night,Escalated,System Configuration,Mid-Market,General Queue
100021,5522,2025-01-01 05:03:00,2025-01-01 10:15:00,Email,Finance Ops,Billing Support,Billing_Agent_4,General,Document Upload,Urgent,Closed,31,5.2,4,0,0,4.1,1,0,Central,Evening,Escalated,Training Gap,SMB,Technical Queue
100022,7731,2025-01-01 23:16:00,2025-01-02 13:28:00,Phone,Customer Service,North Ops,North_Agent_7,Account,Profile Update,Low,Resolved,133,14.2,48,1,0,3.7,0,2,Central,Evening,Resolved,Incomplete Documentation,SMB,Escalation Queue
100023,8541,2025-01-01 05:16:00,2025-01-01 19:40:00,Phone,IT Support,Tech Support,Tech_Agent_7,General,Document Upload,Low,Closed,41,14.4,48,1,0,4.6,0,0,West,Morning,Resolved,Training Gap,Enterprise,VIP Queue
100024,8285,2025-01-01 11:20:00,,Phone,Customer Service,North Ops,North_Agent_3,Technical,Integration Error,Medium,Open,112,4.9,24,0,0,4.5,0,0,West,Evening,Pending Third Party,Queue Imbalance,Enterprise,Billing Queue
100025,5817,2025-01-01 16:03:00,,Chat,Customer Service,North Ops,North_Agent_4,Retention,Cancellation Request,Medium,Open,46,24.5,24,0,0,4.4,0,2,East,Evening,Resolved,Manual Review Delay,SMB,Technical Queue
100026,6632,2025-01-01 22:31:00,2025-01-02 11:07:00,Phone,Customer Service,South Ops,South_Agent_6,Technical,Login Issue,Medium,Resolved,76,12.6,24,1,0,4.5,0,0,South,Evening,Manual Correction,Training Gap,SMB,General Queue
